RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
102001,0,United States,country,,1230.5701469411297,1237.2567196035886,1246.5497690409413,1255.9045996429682,1265.4194720418839,1273.495725978997,1279.5484053045684,1283.2323572408186,1285.3535022777173,1285.8162323028323,1286.3485106826195,1286.7596109443623,1289.9673498121958,1294.9919001499331,1301.5303214319024,1309.783889879985,1318.3798658505684,1326.890489293617,1331.802360443688,1334.0759344581727,1333.8872061884692,1332.385870437046,1331.1340195096395,1330.3775762923083,1335.1388028598049,1343.1170287730524,1355.1862854018405,1365.3461666272874,1375.0687904816727,1382.4330562261587,1387.486323461501,1389.085476800686,1389.3505277140625,1387.6785487453706,1387.5856993446823,1388.5364981644657,1393.5846571756242,1401.193454645308,1411.1661617064228,1421.1640292330899,1429.8055936644691,1437.5815399814335,1443.1418312186263,1446.4382082482332,1445.7930291766816,1445.031271669097,1445.6190745947397,1447.773117257142,1452.1241578324637,1458.4722823103991,1469.169128285297,1479.696854062988,1489.9888278488693,1498.237485197021,1504.2664134260058,1507.378914521032,1507.1347494713805,1505.657340882808,1504.5492625591185,1505.8049312196179,1511.0514003893588,1519.5328931384329,1528.2754358522698,1529.306202913393,1528.5919553003773,1529.1009571427219,1534.5164941140936,1535.8803761495146,1533.1748988613306,1530.1031243192647,1528.6338010394559,1530.8941636559307,1538.7425514633367,1551.1027413734535,1567.1503167991773,1587.1084669566205,1613.71368071311,1644.75471976662,1677.3377469023828,1707.4411990849546,1731.849206470375,1747.1250648251696,1757.0505204363512,1766.8559029226851,1778.067235865521,1793.9435843452723,1810.3806913090475,1831.7168740758716,1853.363225469408,1876.0522765238766,1894.975493999958,1905.8878324628122,1908.4456824333881,1903.7828814360405,1897.5624164263807,1894.4780792293345,1896.5369402103388,1903.4175102229583,1916.3471027508592,1927.6760247523043,1940.4014253171129,1948.3591513395365,1957.9361526385392,1963.4640831514612,1965.0150445724064,1961.8768313102892,1956.4503384498792,1953.1278407084828,1956.13184339462,1964.4182654036108,1975.978020560536,1987.4678182382415,1999.302265966049,2010.0364335885063,2019.2919916390122,2024.782372020668,2027.5343863718376,2025.4646370837231,2023.252345143115,2019.9895690665417,2024.4799475947102,2032.7255758151064,2045.383675609016,2055.2554753893232,2063.073916325459,2068.571227541049
394913,1,"New York, NY",msa,NY,2387.5494536156607,2403.5188996978645,2423.5234384652204,2444.657540147988,2461.019872640462,2477.5260139201805,2488.3017216347603,2498.7002871854743,2502.9575231714707,2501.0118016045785,2491.725688984952,2482.355498017836,2478.85824849429,2483.074585757665,2491.538373298012,2505.220176680404,2520.658383770706,2536.297158530478,2549.479019224559,2553.7600405110716,2554.5325217867335,2546.3346117525184,2541.3300288257656,2528.851979085195,2525.4999216254137,2526.12516210317,2538.872051060644,2554.3548308337813,2573.3596701430365,2588.870786194003,2600.2659996643947,2602.6496070680164,2600.665622350382,2586.04154247263,2569.974239929413,2556.0973230339882,2554.7062742428852,2562.1218343206215,2575.5880251223084,2596.134807343376,2615.380297065502,2633.6227747473035,2646.574529540472,2656.200732676672,2657.0675077044557,2647.2298503995817,2635.9368098358627,2625.1332892119185,2625.1635507474643,2634.325738807791,2650.976332690998,2669.3608099448425,2691.034226824242,2713.7577824332257,2730.1934725890746,2737.7578062818675,2736.1051312328013,2731.1483196093823,2718.4192396466497,2710.63256103871,2709.7382112251335,2723.326058647015,2732.8761817701675,2726.814373944158,2709.5082951623936,2685.6853271168607,2659.3827517174254,,,2510.3317644045173,2476.7057918626624,2463.164397911651,2461.7455788824304,2476.864230533071,2499.5465779067176,2529.0081836019003,2575.9304965061497,2633.5622694976837,2700.038669042959,2762.9135483348714,2813.7640380994426,2849.1481676642306,2872.5038475090114,2894.172226346795,2919.2620006650986,2952.580868144674,2993.0070574277725,3036.35296614302,3090.5154616691134,3146.7042848656697,3198.3107056207014,3227.798152494877,3232.2013841667504,3215.3598545903346,3187.8738383743785,3167.0048949460047,3164.3497077134843,3177.830310867241,3205.38896832923,3239.2647559399634,3276.7934599110827,3309.341218941565,3333.510044572542,3344.8744136517503,3344.1288036487226,3328.464729272466,3304.400673002776,3287.8260817356,3291.8702993701386,3311.952361314246,3343.7552928166137,3373.2138292096506,3406.051127279611,3434.7020714853684,3453.3869324940647,3459.913242397508,3450.408902447907,3435.6811963120044,3423.5770858792885,3417.475745221811,3428.0667896142104,3449.9600675096794,3483.3201078703387,3516.6087601095314,3546.852447124942,3582.655047142907
753899,2,"Los Angeles, CA",msa,CA,1811.904427902426,1824.3171644442816,1840.8893801648958,1855.1276338523874,1869.9254985441523,1881.9681809273457,1895.3166972058043,1906.0337026819361,1915.9246207209574,1921.0177029506763,1926.099976083801,1932.0473549984229,1941.648479735019,1952.7435484333173,1964.8556101137958,1975.4310438253858,1989.700951354254,2002.5293420459404,2015.4562230787153,2021.6066370550188,2026.4985665699166,2027.4489436723845,2029.2494135093968,2033.1299463384871,2047.3707654546276,2064.8323731564983,2085.6991939722766,2099.673676450426,2112.7504543584287,2121.9575312615716,2132.211884623599,2137.680679124881,2143.1494550324137,2144.06362089233,2149.0384375406875,2153.5417875970547,2164.928099050989,2176.880777956703,2187.947875630117,2197.2057386241736,2204.852407152721,2216.436251751819,2226.920815020438,2236.204094212049,2240.850324206859,2244.8075232225456,2250.7831441942017,2256.2617005018324,2261.7294733420736,2265.564498036218,2277.383071554532,2288.070812990274,2301.073617519718,2310.094415351589,2318.7681980323678,2324.9171282869934,2328.9005096283054,2331.4898750941484,2334.8474326682963,2338.858836028593,2345.5556259237865,2350.0872869400673,2349.511929564346,2337.9041283805172,2326.4937755138076,2320.6518079682273,2322.3440086688133,2322.7679665851965,2321.9048717125333,2322.588914455116,2323.850463813922,2324.2152893751454,2333.3290187014763,2343.8342550566877,2358.9870723848235,2370.5383762278852,2391.040128772633,2425.8212241395768,2472.8209519574903,2526.9408931648672,2568.3658639402943,2594.5452068355944,2608.868594885723,2626.7680322193437,2646.4201261591725,2672.374606560185,2697.698464638502,2728.1840433276307,2754.2205511007983,2777.784948819357,2798.0320301340557,2813.0578340909897,2819.397211758958,2814.6528339990937,2807.259764349404,2799.8972405407153,2799.0570211984436,2804.379035352417,2819.047149298434,2830.5372686404858,2840.7944436445523,2848.08344803496,2861.0955448014274,2872.4086211723816,2876.1266110211436,2873.2884742787364,2861.5337602088484,2854.1212350302126,2857.611655992307,2869.3334349525444,2884.9049913484723,2894.6968040566394,2908.0182385945736,2921.597561279338,2936.5023593775218,2943.72569691236,2949.68794002206,2947.862268796329,2945.210865767218,2937.5310864737958,2959.3150835747365,2981.2208928264477,3005.774852672246,3003.8130965849623,3007.9886610586805,3011.7058303611097
394463,3,"Chicago, IL",msa,IL,1460.5907600401151,1467.8766717741132,1478.1224109513494,1487.7698710999744,1498.4629547065654,1508.5042062663726,1513.3226277510073,1516.2083684425704,1510.9030685697628,1503.4947799290283,1496.9279274436285,1497.295791746493,1505.4211821378829,1514.6607147045013,1526.6269054083884,1534.6748558574325,1543.5144197954564,1551.5102481994065,1558.1011377579696,1561.7619212405614,1554.5907488289758,1544.588582661568,1532.323109772061,1526.9469731517142,1533.1799995521258,1547.5944032506923,1566.7834173092235,1580.9803512345147,1593.0777126979317,1599.12662173053,1600.9409802199175,1595.858645243451,1589.7639116309383,1578.2833836649945,1571.699437410239,1568.9373952423432,1577.741390451034,1589.7124065042979,1603.5965987711909,1615.2446232410216,1625.7925722600453,1635.2195006425932,1639.6764728873309,1637.1800966117344,1626.4034287407826,1614.7561913801326,1607.6139663639424,1608.534779887637,1618.2510577109754,1629.1210382766308,1645.5089514924127,1658.8828464374535,1671.564116695713,1678.5605696365974,1681.4817589609572,1680.7307784674922,1675.4343008161336,1668.6757010491992,1661.8231007231957,1657.0575156389855,1666.080459005784,1678.4465817646987,1694.242572434813,1695.222106395637,1693.8732499054083,1690.3846111611902,1689.5438706691882,1683.6863575424823,1668.9209101146669,1646.9592611814298,1629.259412018922,1622.2547104099965,1625.1260445397934,1636.6810766345643,1653.968051679037,1680.7239253322223,1708.5708347551442,1734.8258237067423,1754.7801762132713,1768.4100463434468,1776.3239659075755,1775.7510140057755,1775.9142771717025,1781.3363600649982,1795.1850576248264,1811.4281837810172,1832.2411756405158,1857.40941228425,1884.8301033446041,1906.5554303622139,1923.4488283132716,1931.3024011431764,1932.2345075504963,1927.7110672673111,1922.3580869523714,1923.0439623825791,1930.7790684027784,1945.717990422498,1964.5559194724528,1984.0917427377608,2006.2179798767436,2025.055076982006,2038.1554508835452,2045.0841411181702,2041.7461993710722,2032.8636654830166,2024.3527246626818,2026.1507700173245,2036.173145516676,2051.450689408523,2067.4465442869327,2088.6543363751834,2107.8670367153186,2125.4090458816604,2134.7854156145168,2138.7820551101636,2138.3774581040298,2138.712878792836,2141.1062232942454,2145.1128434527855,2152.010099754629,2167.8658650177467,2187.105461315966,2211.0543941117667,2232.356940511425,2252.975128951973
394514,4,"Dallas, TX",msa,TX,1115.789735443366,1120.7544900050834,1128.5905146760103,1140.7641196339875,1150.7943973165304,1159.4817930787597,1166.018481158235,1169.718654202301,1171.3312898917611,1171.3766008665134,1172.1100062251726,1173.8469420775182,1175.2942262230886,1181.27423244394,1189.1478746013915,1200.5756771165495,1209.147706002989,1217.135475116988,1222.3837688321826,1226.0837282741934,1226.2226538745588,1226.6618304901172,1226.4033929946986,1227.4208009069512,1232.45450193135,1238.5204422862907,1251.2378113745185,1260.6343791742763,1273.4646357748616,1280.0421069879208,1285.1924257471364,1286.5855645674237,1285.3323055910546,1283.1244398765668,1284.7144551867361,1285.4763843602082,1290.262810015423,1296.2372272304603,1303.8769692991898,1311.7188340132811,1316.933591405259,1325.2785204844356,1329.235046470659,1330.956669221409,1327.9326690379955,1330.121700775281,1331.4446499080886,1334.3746949648955,1336.5124097952846,1340.73165615788,1352.17374894085,1361.8060989993633,1371.39946820932,1378.263782237424,1381.6501990720876,1383.7711124817586,1382.613717670224,1381.7566303716983,1379.5654605293848,1376.2229422049702,1378.7070335194128,1384.820517530443,1393.516341298842,1394.2539363241897,1393.771741783499,1394.6830129992038,1399.1168141152114,1403.1711215395403,1405.6394781554802,1408.3269914147643,1409.7378305275404,1412.9848622756035,1419.9016791635142,1431.6782900606552,1443.7631754175327,1462.6012511488675,1487.3425106289872,1521.287285999532,1556.3166949921265,1588.327149845801,1612.1718277910416,1626.5618682973566,1638.6919058880158,1648.5659270135802,1660.2936968209083,1672.0832156693966,1686.1164539196373,1705.8254768375643,1728.8769155588946,1758.0113107525815,1779.4300836734974,1787.693265268711,1782.1919452209474,1768.207561238356,1757.3846210874613,1748.9765712395126,1748.6955925897873,1751.1951968955814,1762.49715782567,1766.787185339155,1775.1834466207677,1778.3947178547803,1786.555646359838,1788.2526594243454,1783.9935917943276,1776.3024901852275,1768.0696658130757,1759.4883210484556,1755.391887082705,1753.149643714065,1757.1174877084418,1762.1915390177198,1769.672509568185,1776.861174204154,1783.1214825109291,1787.0822605877593,1784.4230431363064,1779.0518889983196,1771.405058590117,1764.619287479586,1762.5329859334734,1768.0974898634406,1778.41010470803,1788.8710749685201,1792.286370346448,1793.4085729322899
394692,5,"Houston, TX",msa,TX,1257.1651090145374,1261.2182528123935,1268.0222949992487,1278.269593995637,1287.907067772863,1296.36025087808,1298.290071763042,1299.4609341224623,1296.973098832203,1293.2701552345327,1289.4299255532462,1286.2490580029817,1287.2082611685428,1289.4914286949984,1295.9164627521418,1300.37002790455,1303.5324010797929,1304.6516157568237,1304.1744154763508,1301.5667917773942,1295.8062690319964,1291.8180887938113,1286.1417118577522,1283.9747163510451,1284.8461533309273,1292.9101578964503,1301.3567061355088,1306.5762839357549,1314.3213807999573,1316.2871862495267,1316.9817263806165,1311.903950292352,1319.1103495516968,1327.2967011288456,1338.5263719490397,1343.719866704301,1347.0938542727165,1352.9074820340977,1355.0559614403753,1362.1807267436159,1365.0105759428798,1370.3554056165437,1370.3701288483082,1368.6423275227098,1364.7284692890044,1364.9707251435086,1367.466872832387,1367.1802981327828,1367.7061020326496,1366.3406188878914,1373.9320149589553,1379.4236727693158,1388.6900591948938,1394.5211625320387,1398.2145621176057,1397.4338258876282,1394.2524825620637,1393.4321397066901,1393.444130171501,1396.4773750637335,1399.3546889246732,1405.6868477585713,1411.5392602286022,1408.687222687191,1402.3042418876075,1397.5074326330105,1401.8248709811028,1407.1440376087764,1407.585042276308,1409.7608766344815,1411.1244229398164,1411.897158041403,1414.6502314965032,1416.5143788028142,1425.5045358706543,1438.6378111130584,1460.5686527176956,1488.683394683653,1515.0922658251288,1539.5539335461865,1553.1931434392498,1560.887591425294,1564.4989722302723,1568.9994597131918,1575.2125889191911,1585.5695302259646,1596.2835821575977,1610.1977135021737,1622.2231765294669,1638.2329057084032,1650.4356590740992,1657.8132509645768,1655.7238302952317,1649.4951890304233,1641.7473263870481,1639.3977973382937,1642.6055187059885,1650.6083836921346,1662.57344701506,1669.1619582482913,1679.046018752464,1686.4328901415047,1693.6201725537524,1695.2027037932796,1690.9850336546208,1685.8488235042282,1679.9111814588232,1677.284312054114,1678.8293482814788,1683.6019924080085,1688.9917310658059,1697.1559806943442,1706.9657842144725,1716.5572352118156,1722.467324745281,1726.3857612095228,1728.634905027245,1728.6654005160958,1724.7231476832656,1720.086917740795,1718.7760988226166,1722.936942152022,1732.7241336295235,1738.4629744752438,1740.501281756843,1733.7482852468058
395209,6,"Washington, DC",msa,VA,1758.9620956912283,1766.2914603789172,1778.0804729697647,1787.1996562539737,1796.039296137962,1803.2315801612458,1807.625766507637,1805.1867610943334,1804.699757558963,1799.6235763240445,1799.2718606151582,1794.599513171645,1798.4084260840245,1802.007576852406,1810.9398926758247,1818.3641970681815,1827.0493387491365,1833.1667746084747,1837.6470111271267,1839.324094846881,1835.461007936771,1829.8664509104956,1823.9614056058238,1821.5324071113228,1826.9500093717193,1838.9227878367778,1852.6885337295664,1864.0336383571635,1870.780169932829,1878.6335061037785,1881.4911068448002,1881.403686555858,1878.8820342186411,1874.4724179685097,1868.5468510015057,1864.7050640830155,1867.3885080089374,1874.2498508020235,1887.063984732127,1899.229898123319,1910.918600224388,1919.7718970932883,1925.3914000535403,1929.9973105715803,1924.900243316082,1922.4848581922438,1922.977865398863,1928.256790827698,1932.4445802495065,1938.4926136525428,1948.2679621507327,1960.1406004397313,1971.6271745914544,1980.8394428323215,1986.321360249725,1987.539967988647,1987.417350159318,1981.342128995988,1975.1800468956471,1975.3162542020818,1984.3136769022433,1993.5303107478628,2004.0547792573825,2003.4493981507871,2001.667304486505,1994.8115384490266,1993.1647663426543,1988.5912253997542,1974.6559440661972,1956.738033514747,1936.3886832398648,1925.5872910950936,1927.6301495411064,1936.1051510426175,1947.141003807768,1962.535132663,1991.2881594943665,2029.8628714693257,2068.7575260023987,2100.727009544488,2120.231188160883,2129.9630467797742,2130.140555232312,2129.9256118154563,2131.7758037781755,2143.9580730448583,2163.1586793820384,2188.0580028743684,2214.3501831419067,2241.226120914347,2266.4932636655403,2278.3024526287386,2278.1297196897153,2261.369522579288,2244.079572014843,2230.4335638618586,2232.011700477523,2244.579840374422,2269.477804383614,2286.2702991037404,2305.224572024125,2316.8738449945913,2334.0323572766542,2344.686077563466,2347.6905602029965,2343.6287058378216,2335.7447288451717,2327.784858651885,2331.369959976184,2345.242570480629,2367.5228330812097,2388.260993167118,2408.367884215427,2429.3965012046415,2446.4048644327772,2455.324957394702,2455.555055077048,2445.8466984120946,2438.5672955594687,2430.4984525292766,2441.8809717595095,2456.765140644966,2480.187035120816,2493.117386210191,2501.5440635003383,2505.4222091961224
394974,7,"Philadelphia, PA",msa,PA,1267.3804005402699,1273.8381752919613,1287.641220003743,1294.499204048768,1300.7858089266854,1303.6747047688693,1305.8313904734064,1306.3656291382808,1305.940492597044,1305.0092614665343,1300.906890751346,1297.2939180397427,1298.7321273402654,1307.5243262629326,1317.4553917313783,1326.3501711025103,1333.0514900542237,1340.4956786079676,1342.010152570075,1341.7740036171333,1338.176634944572,1336.4509176865415,1338.3302851964784,1338.8651605197108,1343.4269499876807,1349.5802222248287,1361.7039087133435,1370.8634780703178,1376.8869084205762,1377.8903992960834,1378.6772466136526,1378.2203441291772,1377.5435381360312,1376.6983868091286,1376.2064043212686,1379.2136951039618,1382.735151140923,1391.0899637932844,1402.2661934873877,1412.5238627886577,1421.5772028964159,1425.4715216989728,1426.5624667920251,1425.1723595054013,1422.9883636144145,1424.2445239962215,1428.0625191790643,1429.1356356979747,1433.9708959372565,1440.8318694180227,1455.611884070448,1467.4062803492625,1474.7945978018188,1482.380701438123,1485.79353088503,1485.6151361279362,1481.3953638602175,1479.987743332965,1480.1828330098742,1483.150052933264,1487.1056107854004,1498.9999315826872,1510.5231737248937,1515.6525614726802,1516.1510837724068,1516.8621702244159,1522.3140990414581,1522.329178385945,1521.330916542546,1520.1696524923123,1521.288872477661,1524.3270832090484,1530.332788541988,1539.0542790427555,1549.0648626393343,1565.1808913572218,1587.9394665619607,1610.2280447927628,1629.8289894986285,1646.1199735218345,1654.5577265786335,1664.200025334257,1672.3754162798996,1689.71195711657,1700.9853424040741,1714.0883340967255,1725.6480366522974,1740.8140593556416,1755.8068942459415,1771.2332528074223,1783.9452405009497,1789.5404303372413,1789.6039452918321,1784.0890810760047,1781.9075575513507,1778.590709001142,1783.129366815257,1786.2933180326377,1799.376155818297,1809.0021718284665,1821.3354808688316,1826.5106902225891,1834.8683971805324,1840.9719968417003,1847.6869336738546,1849.4022362182504,1848.0750110941826,1845.5294005619885,1847.6641141797904,1856.5161436909252,1867.20578231764,1876.517643570417,1885.3092400739852,1894.494283958368,1903.0452546250267,1910.1823516442594,1915.3688464935049,1921.093517916971,1924.9516649532957,1929.8614636309333,1934.5616926744701,1939.0905356740063,1941.1082333480915,1942.347237074648,1947.3137027692687,1955.2598920203754
394856,8,"Miami, FL",msa,FL,1522.292557438232,1528.2089586802579,1533.5965282563734,1540.5390418101633,1549.8073773989188,1558.6908265195975,1568.0319908420206,1575.476535725325,1587.1218194722348,1595.0948518411524,1605.1622798664237,1608.095000565741,1611.821634804436,1613.1269304459195,1616.472490358489,1618.2144893609552,1617.5393815637854,1617.1390850294636,1619.0624767439444,1622.0024238485955,1627.3908651911163,1630.6532958925695,1635.0158588746594,1634.376999748486,1638.7787119132004,1642.2420255070333,1650.7397996092275,1653.6171636470456,1656.2873977101397,1658.9534727725143,1664.2482312726581,1671.6051744727822,1678.776077059738,1684.2566632471103,1685.8756079613152,1686.7836123802058,1689.1043744339554,1691.9406629832506,1695.9057261272562,1699.8768267804983,1704.578663920926,1709.8441820179264,1715.8274050071022,1722.6562718456462,1727.9100432612427,1734.9543206203796,1741.7814584656733,1746.895833664943,1746.442427908939,1744.7800229296201,1745.971387694818,1749.2396818154368,1754.6099914159659,1758.924561117025,1764.2677075285267,1768.9035244512322,1775.554324780282,1785.018520791891,1795.1978787713429,1801.9570620702507,1804.3605020823913,1807.5966402253462,1808.0959404853052,1801.9148974284371,1792.639737704886,1791.5390339456014,1797.3165879957676,1802.7708134103373,1808.5592438981603,1822.062617488451,1841.250142348639,1857.8108675646124,1873.304907545875,1896.2864652708004,1925.5204929249653,1960.6121372756538,2002.3327781181315,,,2187.2062001659074,2247.2912878834095,2291.791198041474,2338.0851080204807,2386.2392958799896,2429.316187553347,2463.6776103211773,2501.8595930205242,2544.7837834744596,2585.263457825684,2613.060900188124,2633.8513770662667,2643.3412914062997,2651.284797999186,2654.0854558240076,2661.183303059311,2665.02915832715,2665.771306624976,2667.8007936957474,2673.1831604732884,2679.4397116171917,2686.3005982771365,2691.5276528168583,2697.1076716640423,2702.957507893809,2708.6209165561845,2717.1098142013084,2721.449507906745,2717.1394061977408,2714.940113724176,2718.7294578648252,2729.0336942375097,2737.2548502883974,2740.561179863175,2744.646855497746,2752.185169836241,2761.590700964577,2771.8935052110455,2775.2769017372307,2777.6819869608566,2775.6789010865564,2777.8671112996917,2778.900200427047,2783.5857713599553,2785.033118930759,2785.211407616817,2783.7536167326257
394347,9,"Atlanta, GA",msa,GA,1050.7867804027005,1056.0891250456173,1059.177027226889,1069.314284554863,1077.3851140471047,1089.2426341862981,1095.5944085395704,1098.988128823872,1099.4542571635918,1100.0806409357103,1101.17969374987,1105.0174415869621,1109.1217297931655,1116.014018728611,1123.609177011966,1131.1948708231866,1140.6012273725523,1149.6536917505953,1158.5125463805032,1162.5614661973275,1163.0406813772247,1163.5607052297642,1163.7741407015983,1165.7202489863741,1169.8062902852548,1178.463839693702,1190.4817028763237,1203.0030896729154,1215.4696057060562,1226.0171328006913,1235.059587950969,1239.0551388961994,1241.2536393968644,1237.8368328777137,1239.7218005404443,1241.2122346977037,1248.952206380502,1256.9926675802913,1268.8396706674407,1280.7372028823452,1292.197180825578,1301.222943109509,1307.3474078634156,1310.0688601154807,1310.1131701590689,1316.240989679381,1321.4364471095328,1327.1149591940305,1332.0343368306696,1339.9005115164052,1352.3494805700602,1363.7778316128474,1374.329650970175,1383.1612406514348,1388.0848191668722,1392.3926729476248,1394.7966809411673,1393.880797325748,1391.188766714729,1390.6009014647252,1395.4606124901202,1403.9371552302232,1412.9100035787824,1416.489269304491,1420.3501982558057,1427.9323703988582,1443.6659242555738,1457.6807648784315,1466.989008914406,1473.1268978944079,1478.8385769359452,1486.0661888092538,1499.724721364517,1517.9086629912272,1537.4460811804206,1560.113128447484,1588.53202605628,1628.2479552877792,1671.4606453819658,1715.4103869505238,1747.6479638756766,1767.228650287978,1774.3191208355279,1776.4247825816117,1779.2501120233842,1784.9133118949467,1797.3880043047639,1811.8605681608592,1832.4218949773165,1853.9140945438535,1877.8431623912445,1890.6123690183197,1892.4936241361831,1881.7510030085575,1870.5832703477465,1865.151006787405,1863.4313731772863,1867.7560103078451,1878.994424170549,1886.7716961698313,1893.6218102274938,1894.1456931973553,1899.291756370646,1899.7465460578676,1897.3359509903078,1886.869923136888,1873.467570289172,1863.0672928973281,1865.332415355031,1875.6104677485632,1882.699005683409,1887.926223898621,1893.7013870810933,1901.536383732587,1908.0500602093857,1909.2475439939499,1914.603198463062,1912.1588755219982,1908.2289037585945,1900.417151238179,1904.0712797059205,1917.3367533251394,1929.2130854153904,1936.3712818986248,1937.819171695368,1940.067701177428
